segment;pas;succes;attendu
S008;109;1;0.7600479904019196
S008;161;1;0.799367088607595
S008;162;1;0.799367088607595
S008;163;1;0.799367088607595
S008;304;0;0.5862619808306709
S008;599;1;0.7600479904019196
S008;600;1;0.7600479904019196
S008;601;1;0.7600479904019196
S008;602;1;0.7600479904019196
S008;638;0;0.5655172413793104
S008;1039;1;0.7600479904019196
S008;1040;1;0.7600479904019196
S008;1090;1;0.6815789473684211
S008;1091;1;0.7296996662958843
S008;1150;1;0.7107142857142857
S008;1151;1;0.7600479904019196
S008;1170;1;0.7751256281407035
S008;1370;1;0.7600479904019196
S009;17;1;0.7600479904019196
S009;18;1;0.7600479904019196
S009;19;1;0.7600479904019196
S009;375;1;0.7600479904019196
S009;376;1;0.7600479904019196
S009;501;1;0.7940379403794038
S009;703;1;0.7296996662958843
S009;767;1;0.7940379403794038
S009;768;1;0.7940379403794038
S009;879;1;0.39921722113502933
S009;919;1;0.4111111111111111
S009;1190;1;0.799367088607595
S009;1330;0;0.39085545722713866
S009;1351;1;0.5669014084507042
S009;1352;1;0.7296996662958843
S009;1353;1;0.7296996662958843
S009;1367;1;0.39085545722713866
S009;1402;1;0.7751256281407035
S009;1403;1;0.7751256281407035
S010;26;1;0.39085545722713866
S010;27;0;0.5038759689922481
S010;158;1;0.799367088607595
S010;547;1;0.5973377703826955
S010;548;1;0.7296996662958843
S010;620;0;0.7107142857142857
S010;621;0;0.7107142857142857
S010;632;1;0.3990461049284579
S010;633;1;0.5973377703826955
S010;634;0;0.7751256281407035
S010;823;1;0.5437956204379562
S010;824;1;0.6815789473684211
S010;869;0;0.16429840142095914
S010;870;1;0.26453488372093026
S010;871;1;0.272
S010;872;1;0.2785571142284569
S010;873;1;0.4186746987951807
S010;874;1;0.49085365853658536
S010;941;1;0.7751256281407035
S010;1051;1;0.7600479904019196
S010;1192;1;0.7751256281407035
S010;1193;1;0.7751256281407035
S010;1209;1;0.7107142857142857
S011;38;1;0.5973377703826955
S011;159;0;0.7107142857142857
S011;278;1;0.7600479904019196
S011;279;1;0.7961011591148578
S011;280;1;0.7961011591148578
S011;281;1;0.7961011591148578
S011;343;1;0.2550335570469799
S011;344;1;0.274468085106383
S011;357;1;0.7983870967741935
S011;548;0;0.4111111111111111
S011;809;1;0.7600479904019196
S011;937;0;0.5038759689922481
S011;990;1;0.6052631578947368
S011;991;1;0.6052631578947368
S011;992;1;0.7600479904019196
S011;1046;1;0.7107142857142857
S011;1171;1;0.7983870967741935
S012;6;0;0.7600479904019196
S012;270;1;0.7940379403794038
S012;271;1;0.7940379403794038
S012;272;1;0.7940379403794038
S012;273;1;0.7940379403794038
S012;274;1;0.7940379403794038
S012;275;1;0.7940379403794038
S012;392;1;0.7940379403794038
S012;393;1;0.7940379403794038
S012;394;1;0.7940379403794038
S012;395;1;0.7940379403794038
S012;491;1;0.7107142857142857
S012;492;1;0.7107142857142857
S012;729;1;0.7600479904019196
S012;730;1;0.7600479904019196
S012;731;1;0.7600479904019196
S012;745;1;0.799367088607595
S012;746;1;0.799367088607595
S012;864;1;0.7940379403794038
S012;878;1;0.488
S012;1144;1;0.7600479904019196
S012;1145;1;0.7600479904019196
S012;1146;1;0.7600479904019196
S012;1147;1;0.7961011591148578
S012;1193;1;0.7961011591148578
S012;1194;1;0.7961011591148578
S012;1195;1;0.7961011591148578
S012;1196;0;0.7961011591148578
S012;1353;1;0.4111111111111111
S013;42;1;0.799367088607595
S013;43;1;0.799367088607595
S013;44;1;0.799367088607595
S013;188;1;0.7296996662958843
S013;189;1;0.5973377703826955
S013;288;1;0.4691358024691358
S013;289;1;0.5669014084507042
S013;290;0;0.5973377703826955
S013;291;0;0.7296996662958843
S013;498;1;0.7751256281407035
S013;499;1;0.7751256281407035
S013;500;1;0.7751256281407035
S013;660;1;0.7940379403794038
S013;661;1;0.7940379403794038
S013;662;1;0.7940379403794038
S013;663;1;0.7940379403794038
S013;671;1;0.7940379403794038
S013;727;1;0.7600479904019196
S013;820;1;0.7940379403794038
S013;850;0;0.6260229132569558
S013;882;1;0.488
S013;883;1;0.5038759689922481
S013;884;1;0.5862619808306709
S013;885;1;0.5862619808306709
S013;886;1;0.7600479904019196
S013;1161;1;0.7107142857142857
S013;1162;1;0.7107142857142857
S013;1163;1;0.7600479904019196
S013;1164;1;0.7600479904019196
S013;1177;1;0.5475517890772128
S013;1178;1;0.5475517890772128
S014;320;0;0.18627450980392157
S014;321;0;0.24356077722548578
S014;381;1;0.7940379403794038
S014;382;1;0.7940379403794038
S014;403;1;0.7600479904019196
S014;461;1;0.7751256281407035
S014;462;1;0.7751256281407035
S014;674;1;0.24356077722548578
