source;famille;capteur;issue;designe;n;obs;ref;z;segments
repli;F33;delta;retour27;False;100;0.15;0.11937625720859993;1.4718923542898532;42
repli;F33;epsilon;retour27;True;100;0.46;0.39908447441745054;1.2550827817087604;42
repli;F33;epsilon;cont10;True;100;0.82;0.8059040677926409;0.3865878932618162;42
repli;F34;alpha;retour27;False;87;0.6896551724137931;0.7743038462279858;-1.8256722235114864;40
repli;F34;beta;retour27;False;87;0.1724137931034483;0.19004713860983796;-0.5574473238443127;40
repli;F34;gamma;retour27;False;87;0.16091954022988506;0.20435638352352142;-1.2875887784526272;40
repli;F34;delta;retour27;False;87;0.20689655172413793;0.2033411938543238;0.1186300999481977;40
repli;F34;epsilon;retour27;False;87;0.3448275862068966;0.3984862220484665;-1.1961803980936394;40
repli;F34;;cont10;False;87;0.7816091954022989;0.804009415002218;-0.5141957592760009;40
repli;F35;alpha;retour27;False;80;0.8375;0.7842422845175718;1.3372584533860121;34
repli;F35;beta;retour27;False;80;0.1625;0.129695522799281;0.8993164933954814;34
repli;F35;gamma;retour27;False;80;0.1875;0.17052400630853795;0.4066466319978426;34
repli;F35;delta;retour27;False;80;0.125;0.11619763354819539;0.34814763992227354;34
repli;F35;epsilon;retour27;False;80;0.4875;0.3814817428280791;1.9523945836112795;34
repli;F35;;cont10;False;80;0.775;0.7972299567943651;-0.4725670076016174;34
repli;F36;alpha;retour27;False;83;0.7831325301204819;0.7800774231333322;0.0662648453050958;39
repli;F36;beta;retour27;False;83;0.04819277108433735;0.1175778211216873;-2.884958362258055;39
repli;F36;gamma;retour27;False;83;0.12048192771084337;0.1590403182985975;-1.0076067584411974;39
repli;F36;delta;retour27;False;83;0.08433734939759036;0.11723069877729718;-1.489720956983092;39
repli;F36;epsilon;retour27;False;83;0.3614457831325301;0.40336501659026425;-0.8051464196434021;39
repli;F36;;cont10;False;83;0.7590361445783133;0.798257040766996;-0.839163395366128;39
symbole;F01;alpha;retour27;False;146;0.6917808219178082;0.7505183546943153;-1.5459988858351992;43
symbole;F01;beta;retour27;False;146;0.13013698630136986;0.11554425963309585;0.5495739459327943;43
symbole;F01;gamma;retour27;False;146;0.1506849315068493;0.1640607431610247;-0.4778472998148759;43
symbole;F01;delta;retour27;False;146;0.1095890410958904;0.1385978143187889;-1.6043548974783841;43
symbole;F01;epsilon;retour27;False;146;0.3493150684931507;0.3516355635179777;-0.06211220126440807;43
symbole;F01;;cont10;False;146;0.7123287671232876;0.8054196942181986;-2.5818878709404753;43
symbole;F02;alpha;retour27;False;163;0.6993865030674846;0.7577411960208248;-1.6789639884999434;45
symbole;F02;beta;retour27;False;163;0.15950920245398773;0.14468884497142587;0.5696142022000106;45
symbole;F02;gamma;retour27;False;163;0.147239263803681;0.1654511433552637;-0.6908173201233957;45
symbole;F02;delta;retour27;False;163;0.17791411042944785;0.147004765764836;1.7025248793008796;45
symbole;F02;epsilon;retour27;False;163;0.3006134969325153;0.3546449460213164;-1.5152669740785603;45
symbole;F02;;cont10;False;163;0.852760736196319;0.8164487084126062;1.3372730295721544;45
symbole;F03;alpha;retour27;False;203;0.6995073891625616;0.7591980447932308;-1.852848195992509;48
symbole;F03;beta;retour27;False;203;0.15270935960591134;0.13183963042888383;0.9385088492985947;48
symbole;F03;gamma;retour27;False;203;0.15270935960591134;0.16745576869524478;-0.6086719963084072;48
symbole;F03;delta;retour27;False;203;0.16748768472906403;0.1322658141852307;1.9291899995758017;48
symbole;F03;epsilon;retour27;False;203;0.3054187192118227;0.3634872064846975;-1.8601585274534203;48
symbole;F03;;cont10;False;203;0.8325123152709359;0.8076677935759239;0.9566000170886516;48
symbole;F04;alpha;retour27;False;45;0.8;0.7789731577445174;0.342145141173352;29
symbole;F04;beta;retour27;False;45;0.2;0.18132185019319869;0.2997769203929281;29
symbole;F04;gamma;retour27;False;45;0.24444444444444444;0.20694321029899448;0.5899264480469927;29
symbole;F04;delta;retour27;False;45;0.13333333333333333;0.1738613438964382;-1.0930333904947553;29
symbole;F04;epsilon;retour27;False;45;0.4444444444444444;0.3916800892215385;0.7219203458747557;29
symbole;F04;;cont10;False;45;0.7111111111111111;0.7806512094384594;-1.0656403649637218;29
symbole;F05;alpha;retour27;False;69;0.7681159420289855;0.7902580847083263;-0.43015470945924217;34
symbole;F05;beta;retour27;False;69;0.18840579710144928;0.16994535748474388;0.5976641746221241;34
symbole;F05;gamma;retour27;False;69;0.2318840579710145;0.19968203582989816;0.7377447655392468;34
symbole;F05;delta;retour27;False;69;0.13043478260869565;0.15787177848115425;-0.7727806412595294;34
symbole;F05;epsilon;retour27;False;69;0.4492753623188406;0.41479356739968265;0.6221576981959356;34
symbole;F05;;cont10;False;69;0.8260869565217391;0.8024701382475162;0.5330311396411295;34
symbole;F06;alpha;retour27;True;117;0.8290598290598291;0.7900491954729696;1.1216103641394946;44
symbole;F06;beta;retour27;False;117;0.10256410256410256;0.12525816204879633;-0.9496848498484386;44
symbole;F06;gamma;retour27;False;117;0.15384615384615385;0.16153369123562145;-0.24289524761183978;44
symbole;F06;delta;retour27;False;117;0.08547008547008547;0.10609790743650889;-1.1300512697818565;44
symbole;F06;epsilon;retour27;False;117;0.4017094017094017;0.40805741905598863;-0.13992230079728243;44
symbole;F06;alpha;cont10;True;117;0.7777777777777778;0.7933280756501718;-0.3965211376606931;44
symbole;F07;alpha;retour27;False;28;0.7142857142857143;0.7848124534126372;-0.8874338069983007;20
symbole;F07;beta;retour27;False;28;0.32142857142857145;0.24493305093287415;1.069391395529143;20
symbole;F07;gamma;retour27;False;28;0.35714285714285715;0.2677336240813242;1.2298689708748685;20
symbole;F07;delta;retour27;False;28;0.25;0.21276466426755655;1.0144249743151748;20
symbole;F07;epsilon;retour27;False;28;0.5;0.5160665685622811;-0.18924870651179782;20
symbole;F07;;cont10;False;28;0.75;0.8139576509221402;-0.7993488831477948;20
symbole;F08;alpha;retour27;False;55;0.8;0.7995214948668702;0.009158765937545303;32
symbole;F08;beta;retour27;False;55;0.09090909090909091;0.11740953211934115;-1.18077984581225;32
symbole;F08;gamma;retour27;False;55;0.10909090909090909;0.15365589653804254;-1.5376521970422647;32
symbole;F08;delta;retour27;False;55;0.07272727272727272;0.09876507832113836;-1.263620396371653;32
symbole;F08;epsilon;retour27;False;55;0.45454545454545453;0.38858528392282476;1.0250419771683705;32
symbole;F08;;cont10;False;55;0.8181818181818182;0.7964101734669841;0.41921569440592754;32
symbole;F09;alpha;retour27;False;69;0.855072463768116;0.7973142836061637;1.375038054110525;37
symbole;F09;beta;retour27;False;69;0.057971014492753624;0.14920752818672714;-3.5987882859125166;37
symbole;F09;gamma;retour27;False;69;0.11594202898550725;0.17369779088643056;-1.569407413341737;37
symbole;F09;delta;retour27;False;69;0.13043478260869565;0.15285635779629583;-0.6717546653575478;37
symbole;F09;epsilon;retour27;False;69;0.37681159420289856;0.42026291752699363;-0.7702668523853801;37
symbole;F09;;cont10;False;69;0.855072463768116;0.8203444359785457;0.8255489625926136;37
symbole;F10;alpha;retour27;False;42;0.8095238095238095;0.7865379910929056;0.38148701896692494;27
symbole;F10;beta;retour27;False;42;0.19047619047619047;0.13315021267469657;1.2972844408151116;27
