source;famille;capteur;designe;n;segments;obs;ref;z
longueur;F25;gamma;False;40;25;0.525;0.5943231846558176;-0.9903631261374848
longueur;F25;beta;False;40;25;0.475;0.46841210708898995;0.10297799475665875
longueur;F25;delta;False;40;25;0.425;0.36026575570728364;1.042681334087588
longueur;F26;alpha;False;202;49;0.806930693069307;0.8551092383890199;-1.7737118902972313
longueur;F26;epsilon;False;202;49;0.7475247524752475;0.7775472238652302;-1.0389312428966877
longueur;F26;gamma;False;202;49;0.6435643564356436;0.645232633262872;-0.051814213632708314
longueur;F26;beta;False;202;49;0.5247524752475248;0.5182620396463521;0.2023411687544066
longueur;F26;delta;True;202;49;0.3465346534653465;0.30181378293045064;1.5400644737147589
longueur;F27;alpha;False;719;50;0.8776077885952712;0.8885316575602195;-0.9011532315643261
longueur;F27;epsilon;False;719;50;0.8066759388038943;0.7814772236247522;1.77271837318486
longueur;F27;gamma;False;719;50;0.6828929068150209;0.6328929722637231;3.120671920145512
longueur;F27;beta;False;719;50;0.5563282336578581;0.5146970688378851;2.4834909006999544
longueur;F27;delta;False;719;50;0.32127955493741306;0.30948559276605764;0.8724622176231664
longueur;F28;alpha;False;413;50;0.9031476997578692;0.8824884107910016;1.4279896587090495
longueur;F28;epsilon;False;413;50;0.8111380145278451;0.7774937951443424;1.826492695801281
longueur;F28;gamma;False;413;50;0.6271186440677966;0.6258674072240653;0.058876444842830805
longueur;F28;beta;False;413;50;0.5060532687651331;0.5013006552071592;0.22609883556195626
longueur;F28;delta;False;413;50;0.29055690072639223;0.2818340055300817;0.5150460403501346
longueur;F29;alpha;False;59;31;0.8135593220338984;0.8233886505687866;-0.19008724902298
longueur;F29;epsilon;False;59;31;0.7796610169491526;0.7180588979501891;1.2100349337619778
